endpoint,population,age
BMI,T2D,0.7254190759
HbA1c,T2D,0.7254190759
HDL,T2D,0.7254190759
HOMA-IR,T2D,0.7254190759
LDL,T2D,0.7254190759
Body Mass,Overweight/obese,-0.3418030372
Flow-mediated Dilation,Overweight/obese,-0.3418030372
VO2max,Overweight/obese,-0.3418030372
Body Fat,Overweight/obese,1.278815991
Body Mass,Overweight/obese,1.278815991
VO2max,Overweight/obese,1.278815991
Body Fat,Healthy,-1.426704598
Body Mass,Healthy,-1.426704598
VO2max,Healthy,-1.426704598
Diastolic Blood Pressure,Healthy,-1.303236131
Fasting Glucose,Healthy,-1.303236131
Fasting Insulin,Healthy,-1.303236131
HDL,Healthy,-1.303236131
HOMA-IR,Healthy,-1.303236131
LDL,Healthy,-1.303236131
Systolic Blood Pressure,Healthy,-1.303236131
Total Cholesterol,Healthy,-1.303236131
Triglycerides,Healthy,-1.303236131
VO2max,Healthy,-1.303236131
BMI,Healthy,-1.547577378
Body Mass,Healthy,-1.547577378
Diastolic Blood Pressure,Healthy,-1.547577378
Systolic Blood Pressure,Healthy,-1.547577378
BMI,Cardiac Rehabilitation,1.019158597
Body Mass,Cardiac Rehabilitation,1.019158597
C-reactive Protein,Cardiac Rehabilitation,1.019158597
Diastolic Blood Pressure,Cardiac Rehabilitation,1.019158597
Fasting Glucose,Cardiac Rehabilitation,1.019158597
Flow-mediated Dilation,Cardiac Rehabilitation,1.019158597
HDL,Cardiac Rehabilitation,1.019158597
LDL,Cardiac Rehabilitation,1.019158597
Systolic Blood Pressure,Cardiac Rehabilitation,1.019158597
Total Cholesterol,Cardiac Rehabilitation,1.019158597
Triglycerides,Cardiac Rehabilitation,1.019158597
VO2max,Cardiac Rehabilitation,1.019158597
BMI,Cardiac Rehabilitation,1.486791747
Body Mass,Cardiac Rehabilitation,1.486791747
Diastolic Blood Pressure,Cardiac Rehabilitation,1.486791747
HDL,Cardiac Rehabilitation,1.486791747
LDL,Cardiac Rehabilitation,1.486791747
Systolic Blood Pressure,Cardiac Rehabilitation,1.486791747
Total Cholesterol,Cardiac Rehabilitation,1.486791747
Triglycerides,Cardiac Rehabilitation,1.486791747
VO2max,Cardiac Rehabilitation,1.486791747
Body Fat,Overweight/obese,0.2671870909
Body Mass,Overweight/obese,0.2671870909
VO2max,Overweight/obese,0.2671870909
BMI,Healthy,0.4517735674
Body Fat,Healthy,0.4517735674
Body Mass,Healthy,0.4517735674
Diastolic Blood Pressure,Healthy,0.4517735674
Fasting Glucose,Healthy,0.4517735674
HbA1c,Healthy,0.4517735674
HDL,Healthy,0.4517735674
LDL,Healthy,0.4517735674
BMI,Healthy,-1.177318664
Body Fat,Healthy,-1.177318664
